fulltime,fam_inc,parttime,sex,race,lsat,ugpa,zfygpa,DOB_yr,zgpa,tier,index6040,pass_bar
1.0,4.0,0.0,female,white,29.0,3.5,-0.11,69.0,-0.57,2.0,649.999987,P
1.0,1.0,0.0,male,white,36.0,3.5,-0.64,65.0,-1.12,3.0,760.526298,P
1.0,4.0,0.0,male,white,39.0,3.5,0.34,58.0,-0.49,3.0,807.894717,P
1.0,4.0,0.0,male,white,48.0,3.5,1.02,68.0,0.76,5.0,949.9999740000001,P
1.0,3.0,0.0,female,white,34.0,3.5,0.96,69.0,0.45,3.0,728.9473519999999,P
2.0,2.0,1.0,male,white,40.0,3.5,1.34,55.0,1.41,3.0,823.6841900000001,P
1.0,4.0,0.0,male,white,40.0,3.5,-0.44,68.0,-1.01,5.0,823.6841900000001,P
1.0,2.0,0.0,female,hisp,28.0,3.5,0.48,69.0,-0.04,1.0,634.210514,F
1.0,4.0,0.0,female,white,33.0,3.5,-0.84,67.0,-1.19,2.0,713.157879,F
1.0,3.0,0.0,female,white,36.0,3.5,0.09,69.0,-0.01,4.0,760.526298,P
1.0,0.0,0.0,male,white,34.0,3.5,-0.07,69.0,-0.38,3.0,728.9473519999999,P
1.0,2.0,0.0,female,white,31.0,3.5,0.3,69.0,0.34,3.0,681.578933,P
1.0,3.0,0.0,male,white,42.0,3.5,0.09,68.0,0.08,4.0,855.2631359999999,P
1.0,4.0,0.0,female,white,34.0,3.5,-0.2,70.0,-0.57,3.0,728.9473519999999,P
1.0,4.0,0.0,male,asian,39.0,3.5,0.23,69.0,0.11,5.0,807.894717,P
1.0,4.0,0.0,female,white,33.0,3.5,-0.08,69.0,-0.6,5.0,713.157879,F
1.0,3.0,0.0,female,white,44.0,3.5,-0.15,61.0,-0.03,4.0,886.842082,P
1.0,3.0,0.0,female,white,39.0,3.5,0.0,61.0,0.0,3.0,807.894717,P
1.0,3.0,0.0,female,white,30.0,3.5,-1.32,69.0,-1.51,3.0,665.78946,P
1.0,3.0,0.0,female,white,36.0,3.5,-0.12,66.0,-0.06,4.0,760.526298,P
1.0,3.0,0.0,female,white,38.0,3.5,0.55,68.0,0.46,3.0,792.1052440000001,P
1.0,4.0,0.0,male,white,35.0,3.5,1.26,68.0,0.98,3.0,744.736825,P
1.0,4.0,0.0,male,white,47.0,3.5,-0.6,69.0,-0.37,6.0,934.210501,P
1.0,4.0,0.0,female,white,40.0,3.5,0.53,69.0,-0.11,3.0,823.6841900000001,P
1.0,3.0,0.0,male,white,34.0,3.5,1.75,51.0,3.15,3.0,728.9473519999999,P
1.0,3.0,0.0,male,white,39.0,3.5,-0.81,56.0,-0.07,4.0,807.894717,P
1.0,3.0,0.0,male,white,48.0,3.5,1.26,70.0,0.37,6.0,949.9999740000001,P
1.0,2.0,0.0,female,white,39.0,3.5,0.19,69.0,0.45,4.0,807.894717,P
1.0,4.0,0.0,male,white,45.0,3.5,0.23,67.0,0.62,4.0,902.631555,P
1.0,4.0,0.0,female,white,36.0,3.5,1.54,65.0,1.22,3.0,760.526298,P
1.0,4.0,0.0,male,white,44.0,3.5,2.65,67.0,1.73,5.0,886.842082,P
1.0,4.0,0.0,male,white,30.5,3.5,-1.99,69.0,-2.17,3.0,673.6841965,P
1.0,3.0,0.0,male,white,40.0,3.5,2.17,55.0,2.27,4.0,823.6841900000001,P
1.0,4.0,0.0,female,white,48.0,3.5,0.4,69.0,0.87,5.0,949.9999740000001,P
1.0,3.0,0.0,female,white,39.0,3.5,0.1,58.0,-0.06,5.0,807.894717,P
2.0,3.0,1.0,female,white,31.0,3.5,1.21,54.0,1.49,3.0,681.578933,P
1.0,4.0,0.0,male,white,33.5,3.5,0.55,69.0,0.63,5.0,721.0526155,P
1.0,3.0,0.0,female,white,31.0,3.5,1.26,68.0,1.6,3.0,681.578933,P
1.0,3.0,0.0,male,white,38.0,3.5,-0.56,66.0,-0.83,5.0,792.1052440000001,P
1.0,4.0,0.0,female,white,30.0,3.5,0.53,69.0,1.83,3.0,665.78946,P
1.0,4.0,0.0,male,white,37.0,3.5,1.51,68.0,1.09,3.0,776.315771,P
1.0,4.0,0.0,female,white,32.0,3.5,-0.32,67.0,-0.31,5.0,697.3684059999999,P
1.0,3.0,0.0,female,white,34.0,3.5,0.92,66.0,0.0,5.0,728.9473519999999,P
1.0,4.0,0.0,male,white,35.0,3.5,0.26,65.0,0.26,4.0,744.736825,P
1.0,4.0,0.0,female,white,44.0,3.5,1.14,67.0,1.34,3.0,886.842082,P
1.0,3.0,0.0,female,white,32.0,3.5,-1.44,61.0,-0.93,4.0,697.3684059999999,F
1.0,4.0,0.0,female,white,37.0,3.5,1.65,70.0,1.68,4.0,776.315771,P
1.0,4.0,0.0,female,white,28.0,3.5,-1.21,68.0,-0.87,3.0,634.210514,P
1.0,3.0,0.0,male,white,39.0,3.5,1.84,66.0,1.89,4.0,807.894717,P
1.0,4.0,0.0,male,white,35.0,3.5,0.81,66.0,1.33,2.0,744.736825,P
1.0,4.0,0.0,female,black,37.0,3.5,-0.83,70.0,-1.76,5.0,776.315771,P
1.0,4.0,0.0,male,white,46.0,3.5,-0.6,67.0,-0.7,6.0,918.421028,P
1.0,4.0,0.0,male,white,39.0,3.5,-0.99,66.0,-0.73,5.0,807.894717,P
1.0,3.0,0.0,male,white,33.0,3.5,0.0,69.0,0.0,2.0,713.157879,F
1.0,3.0,0.0,female,white,43.0,3.5,0.06,51.0,0.3,4.0,871.052609,P
1.0,4.0,0.0,female,white,34.0,3.5,0.84,69.0,0.68,3.0,728.9473519999999,P
1.0,3.0,0.0,female,white,33.0,3.5,0.58,68.0,0.15,3.0,713.157879,P
1.0,4.0,0.0,female,white,43.0,3.5,2.0,62.0,1.97,3.0,871.052609,P
1.0,3.0,0.0,female,white,41.0,3.5,-0.28,66.0,0.25,6.0,839.4736630000001,P
1.0,3.0,0.0,female,white,40.0,3.5,-0.25,64.0,0.0,3.0,823.6841900000001,P
1.0,2.0,0.0,female,white,33.0,3.5,0.58,61.0,0.05,3.0,713.157879,P
1.0,3.0,0.0,male,white,35.0,3.5,0.27,67.0,0.06,2.0,744.736825,P
1.0,1.0,0.0,female,white,42.0,3.5,-0.11,68.0,-0.1,4.0,855.2631359999999,P
1.0,2.0,0.0,male,asian,36.0,3.5,0.36,65.0,0.52,4.0,760.526298,P
1.0,4.0,0.0,female,white,46.0,3.5,-1.16,54.0,-0.51,5.0,918.421028,P
1.0,4.0,0.0,female,white,36.0,3.5,0.3,69.0,0.0,3.0,760.526298,P
1.0,3.0,0.0,female,white,37.7,3.5,0.46,62.0,0.51,4.0,787.3684021,P
1.0,4.0,0.0,male,white,43.0,3.5,0.23,68.0,-0.44,5.0,871.052609,P
1.0,3.0,0.0,male,hisp,31.0,3.5,0.05,70.0,0.18,5.0,681.578933,P
2.0,3.0,1.0,male,white,35.0,3.5,-0.22,55.0,0.41,3.0,744.736825,F
1.0,4.0,0.0,male,white,29.0,3.5,0.16,69.0,0.39,2.0,649.999987,P
1.0,3.0,0.0,female,white,38.0,3.5,0.05,49.0,-0.35,4.0,792.1052440000001,P
1.0,4.0,0.0,male,white,37.0,3.5,0.24,69.0,0.52,3.0,776.315771,P
1.0,3.0,0.0,male,white,44.0,3.5,-0.95,69.0,-0.39,6.0,886.842082,F
1.0,0.0,0.0,male,black,37.0,3.5,-1.63,68.0,-1.47,5.0,776.315771,F
1.0,5.0,0.0,female,white,41.0,3.5,0.35,70.0,0.03,4.0,839.4736630000001,P
1.0,2.0,0.0,male,white,45.0,3.5,0.15,56.0,0.95,3.0,902.631555,F
1.0,4.0,0.0,male,white,32.5,3.5,0.28,68.0,-0.2,3.0,705.2631425,P
1.0,4.0,0.0,female,white,32.0,3.5,-0.58,64.0,-0.07,4.0,697.3684059999999,P
1.0,4.0,0.0,female,white,39.0,3.5,0.02,69.0,-0.1,3.0,807.894717,P
1.0,4.0,0.0,male,white,40.0,3.5,0.14,61.0,-0.79,5.0,823.6841900000001,P
1.0,4.0,0.0,male,white,45.0,3.5,-1.58,68.0,-1.89,6.0,902.631555,P
1.0,3.0,0.0,male,white,29.0,3.5,0.05,68.0,-0.42,3.0,649.999987,P
1.0,5.0,0.0,male,white,46.0,3.5,-0.45,69.0,-0.37,5.0,918.421028,P
1.0,3.0,0.0,female,white,44.0,3.5,-0.24,69.0,-0.34,4.0,886.842082,P
1.0,4.0,0.0,female,white,42.0,3.5,0.24,69.0,1.29,3.0,855.2631359999999,P
1.0,4.0,0.0,female,white,32.0,3.5,0.96,69.0,1.06,4.0,697.3684059999999,P
1.0,4.0,0.0,female,white,43.0,3.5,-0.66,69.0,-0.79,5.0,871.052609,P
1.0,3.0,0.0,female,white,30.5,3.5,-0.41,68.0,-0.93,3.0,673.6841965,P
1.0,1.0,0.0,female,white,35.0,3.5,1.43,60.0,1.53,3.0,744.736825,P
1.0,3.0,0.0,male,white,34.0,3.5,-0.41,69.0,-0.65,3.0,728.9473519999999,P
1.0,3.0,0.0,female,white,38.0,3.5,0.09,69.0,-0.09,4.0,792.1052440000001,P
1.0,3.0,0.0,female,white,33.0,3.5,-0.38,70.0,0.17,5.0,713.157879,P
1.0,4.0,0.0,female,white,40.0,3.5,0.69,60.0,1.47,3.0,823.6841900000001,P
1.0,2.0,0.0,male,black,23.3,3.5,0.21,68.0,0.5,1.0,559.9999909,P
1.0,5.0,0.0,male,white,43.0,3.5,0.61,69.0,0.07,4.0,871.052609,P
1.0,3.0,0.0,female,white,34.0,3.5,0.0,59.0,0.0,4.0,728.9473519999999,P
1.0,3.0,0.0,male,white,44.0,3.5,-1.07,62.0,-0.78,6.0,886.842082,P
1.0,4.0,0.0,male,white,43.0,3.5,-0.6,69.0,-0.57,6.0,871.052609,P
1.0,4.0,0.0,male,white,45.0,3.5,-0.38,68.0,-0.35,3.0,902.631555,P
1.0,3.0,0.0,male,white,33.0,3.5,0.0,69.0,0.0,6.0,713.157879,P
1.0,3.0,0.0,male,white,38.0,3.5,-0.07,51.0,-0.62,3.0,792.1052440000001,P
1.0,3.0,0.0,male,white,37.0,3.5,-0.82,68.0,-0.52,4.0,776.315771,P
1.0,5.0,0.0,female,white,25.0,3.5,-0.26,62.0,-0.77,4.0,586.842095,F
1.0,3.0,0.0,female,hisp,40.0,3.5,-0.22,69.0,-0.37,4.0,823.6841900000001,P
1.0,3.0,0.0,female,white,40.0,3.5,0.04,67.0,0.16,4.0,823.6841900000001,P
1.0,3.0,0.0,female,white,34.0,3.5,1.19,68.0,0.0,5.0,728.9473519999999,P
1.0,4.0,0.0,female,white,31.5,3.5,0.6,66.0,1.03,5.0,689.4736695,P
1.0,4.0,0.0,male,white,43.0,3.5,2.32,67.0,2.33,3.0,871.052609,P
1.0,4.0,0.0,female,white,39.0,3.5,0.39,66.0,0.61,3.0,807.894717,P
1.0,3.0,0.0,male,white,43.0,3.5,0.46,69.0,0.58,5.0,871.052609,P
1.0,2.0,0.0,female,white,39.0,3.5,-0.41,56.0,0.02,5.0,807.894717,P
